id,ver,tier,creation,duration,tid,pos,win,name,smnrid,cid,cid2,assists,baron,ccing,champlevel,dealt,dealtm,dealtp,dealttaken,deaths,doublekill,dragon,fbassist,fbkill,ftassist,ftkill,goldearned,goldspent,heal,herald,jungle,kills,minions,largestmultikill,object,pentakill,quadrakill,theal,triplekill,tshield,turretkills,visionscore,visionwardsbuy,wardskilled,wardsplaced,xp,ctime,cs,dpd,dpg,kda,multikillcnt,lr,sr,cmin,cpm,cspm,dpm,dtpm,gpm,hpm,htpm,jpm,lvpm,stpm,vsm,vwbm,wkm,wpm,xpm,solokill,solodeath,diffcs,diffdmg,diffdpd,diffdpg,diffgold,diffxp,diffcspm,diffdpm,diffdtpm,diffgpm,diffxpm,baron100,baron200,cs100,cs200,dealt100,dealt200,dragon100,dragon200,goldearned100,goldearned200,herald100,herald200,kills100,kills200,tower100,tower200,visionscore100,visionscore200,csratio,dratio,gratio,kratio,vsratio,assist_at14,assist_af14,cs_at14,cs_af14,cs_lead_at14,damagedone_at14,damagedone_af14,damagetaken_at14,damagetaken_af14,death_at14,death_af14,dpd_at14,dpd_af14,dpg_at14,dpg_af14,gold_at14,gold_af14,goldspent_at14,goldspent_af14,minions_at14,minions_af14,jungle_at14,jungle_af14,kda_at14,kda_af14,kill_at14,kill_af14,lv_at14,lv_af14,solodeath_at14,solodeath_af14,solokill_at14,solokill_af14,solokd_at14,solokd_af14,xp_at14,xp_af14,cspm_at14,cspm_af14,dpm_at14,dpm_af14,dtpm_at14,dtpm_af14,gpm_at14,gpm_af14,jpm_at14,jpm_af14,xpm_at14,xpm_af14,diffdpd_at14,diffdpd_af14,diffdpg_at14,diffdpg_af14,diffgold_at14,diffxp_at14,diffcspm_at14,diffcspm_af14,diffdpm_at14,diffdpm_af14,diffdtpm_at14,diffdtpm_af14,diffgpm_at14,diffgpm_af14,diffxpm_at14,diffxpm_af14,gank_kill_at14,gank_assists_at14,gank_death_at14,combat_kill_at14,combat_assists_at14,combat_death_at14,combat_kill_af14,combat_assists_af14,combat_death_af14,first_herald_time,first_dragon_time,first_turret_time,lp
66675248441,13016,P,1692802386443,2099,100,2,0,검정재,EXXPLx8IN31zWisNLSI1qXPV5TE85qvCHiB4VY8TRq4G4X8,154,131,18,0,44,16,18984,15091,1118,50921,5,0,1,1,0,0,0,14383,13339,32767,2,137,5,54,1,3,0,0,3860,0,0,1,21,1,3,1,15289,757,191,3796.8,1.4232,4.6,0.0,,,0.800381,1.54359,5.45974,542.658,1455.58,411.139,1841.53,110.338,3.91615,0.457361,0.0,0.600286,0.028585,0.0857551,0.028585,437.037,0,0,-99,-19174,-19.0,-1.18608,-2880.0,-6849.0,-2.82992,-548.09,291.453,-82.3249,-195.779,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,18.8549,16.4873,19.9048,57.5,12.0,8,10,81,110,0,3503,15481,10702,40219,1,4,3503.0,3870.25,0.644526,1.95863,6313,8070,5435,7904,13,41,68,69,10.0,3.25,2,3,9,7,0,0,0,0,0.0,0.0,5457,9832,5.78571,5.24226,250.214,737.776,764.429,1916.71,450.929,384.591,4.85714,3.28832,389.786,468.562,2607.6,-2865.95,-0.371819,-1.33729,1231.0,-193.0,-1.78571,-3.52661,-69.5714,-867.355,-105.571,556.346,87.9286,-195.917,-13.7857,-317.204,2,5,1,0,3,0,2,6,1,614,1642,1193,25800003
66675248446,13016,E,1692802386443,2099,200,2,1,청년 조영수,amdUDB0zJqfki7Z_paemmTFN54V8DDtD45LnQYElrVIwQA,131,154,16,2,15,18,38158,29497,4162,40725,10,0,4,0,0,0,0,17263,14624,15353,0,227,5,63,1,6,0,0,0,0,0,2,27,0,8,2,22138,740,290,3815.8,2.60927,2.1,0.0,,,0.886136,1.80086,8.28966,1090.75,1164.13,493.464,438.866,0.0,6.4888,0.514531,0.0,0.771796,0.0,0.22868,0.0571701,632.816,0,1,99,19174,19.0,1.18608,2880.0,6849.0,2.82992,548.09,-291.453,82.3249,195.779,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,28.348,28.2131,22.9907,60.0,15.9763,3,13,106,184,1,4477,33681,12180,28545,5,5,895.4,6736.2,1.01635,3.29592,5082,12181,4405,10219,14,49,92,135,0.6,3.6,0,5,9,9,0,1,0,0,0.0,0.0,5650,16488,7.57143,8.76886,319.786,1605.13,870.0,1360.37,363.0,580.508,6.57143,6.43368,403.571,785.766,-2607.6,2865.95,0.371819,1.33729,-1231.0,193.0,1.78571,3.52661,69.5714,867.355,105.571,-556.346,-87.9286,195.917,13.7857,317.204,0,3,3,0,0,1,1,8,2,0,663,860,30600006
66675248471,13016,G,1692802390421,1218,100,2,1,뽀잘알,bmjOXDNo-LF8ob2HHWHhzRWVIKpuUhA2vjUUIOA5XZxiHSk,78,35,8,0,21,11,7379,676,6586,11118,3,0,2,0,0,0,0,6981,6895,4675,0,100,2,8,1,2,0,0,0,0,0,0,23,5,8,6,8148,829,108,2459.67,1.0702,3.33333,0.0,,,0.640394,0.394089,5.3202,363.498,547.685,343.892,230.296,0.0,4.92611,0.541872,0.0,1.133,0.246305,0.394089,0.295566,401.379,0,0,21,4127,1646.67,0.454287,1323.0,2012.0,1.03448,203.3,-142.956,65.1724,99.1133,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,18.4615,12.8507,16.3436,41.6667,31.0811,5,3,69,39,1,4700,2679,6926,4192,2,1,2350.0,2679.0,0.996819,1.2289,4835,2146,4715,2180,5,3,64,36,3.5,3.0,2,0,8,3,0,0,0,0,0.0,0.0,5011,3137,4.92857,6.19048,335.714,425.238,494.714,665.397,345.357,340.635,4.57143,5.71429,357.929,497.936,367.0,2256.0,0.382887,0.609875,902.0,663.0,0.285714,2.69841,194.071,223.81,-58.2857,-331.111,64.4286,66.8254,47.3571,214.127,1,5,2,1,0,0,0,2,1,0,599,889,20800017
66675248476,13016,P,1692802390421,1218,200,2,0,뽀식이따먹고싶다,H4YGhHg__O4qoqdBPqrMjB9CEntOcXoR-khFPgsuEn-8YiI,35,78,1,0,11,10,3252,1826,1117,14020,4,0,0,0,0,0,0,5658,5280,5481,2,78,0,9,0,2,0,0,0,0,0,0,15,3,1,5,6136,933,87,813.0,0.615909,0.25,0.0,,,0.246305,0.44335,4.28571,160.197,690.64,278.719,270.0,0.0,3.84236,0.492611,0.0,0.738916,0.147783,0.0492611,0.246305,302.266,0,0,-21,-4127,-1646.67,-0.454287,-1323.0,-2012.0,-1.03448,-203.3,142.956,-65.1724,-99.1133,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,16.4151,9.74937,16.5851,10.0,13.1579,1,0,65,22,0,1983,1269,7742,6278,1,3,1983.0,423.0,0.613932,0.619024,3933,1725,3230,2050,9,0,56,22,1.0,0.0,0,0,8,2,0,0,0,0,0.0,0.0,4348,1788,4.64286,3.49206,141.643,201.429,553.0,996.508,280.929,273.81,4.0,3.49206,310.571,283.81,-367.0,-2256.0,-0.382887,-0.609875,-902.0,-663.0,-0.285714,-2.69841,-194.071,-223.81,58.2857,331.111,-64.4286,-66.8254,-47.3571,-214.127,0,1,0,0,0,0,0,0,3,568,0,833,25700004
66675248541,13016,P,1692802426534,1400,100,2,1,HOTBEEN,ONQ4FB5AEffri83E3K2LTXitWAQwKuxdsypK7ztCwrrlu6M,57,9,7,0,42,12,10519,8551,1125,23124,2,0,2,0,0,0,0,8335,7155,12573,1,98,4,10,1,3,0,0,435,0,0,0,6,0,1,1,9723,979,108,5259.5,1.47016,5.5,0.0,,,0.557143,0.428571,4.62857,450.814,991.029,357.214,538.843,18.6429,4.2,0.514286,0.0,0.257143,0.0,0.0428571,0.0428571,416.7,0,0,-27,-607,3034.3,0.0129243,354.0,816.0,-1.15714,-26.0143,-136.243,15.1714,34.9714,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,16.8487,18.8658,18.4394,45.8333,5.35714,2,5,63,45,0,3454,7065,11172,11952,2,0,1727.0,7065.0,0.948901,2.00996,4186,4149,3640,3515,5,5,58,40,1.5,8.0,1,3,8,4,0,0,0,0,0.0,0.0,4344,5379,4.5,4.82143,246.714,756.964,798.0,1280.57,299.0,444.536,4.14286,4.28571,310.286,576.321,-79.0,4560.33,0.0559468,-0.0830789,-967.0,-626.0,-2.28571,0.535714,-11.2857,-48.1071,-191.786,-52.9286,-69.0714,141.536,-44.7143,154.5,1,2,2,0,0,0,1,3,0,942,1048,0,25700043
66675248546,13016,G,1692802426534,1400,200,2,0,노량진신데렐라,JEuaSGnc4bIDKwiJwK3cyKXkIg9XQIpflsAKFJoap-19ow,9,57,6,0,29,12,11126,9899,132,26303,5,0,0,0,0,0,0,7981,7635,14522,0,109,1,26,1,0,0,0,0,0,0,0,33,2,4,2,8907,877,135,2225.2,1.45724,1.4,0.0,,,0.514286,1.11429,5.78571,476.829,1127.27,342.043,622.371,0.0,4.67143,0.514286,0.0,1.41429,0.0857143,0.171429,0.0857143,381.729,0,0,27,607,-3034.3,-0.0129243,-354.0,-816.0,1.15714,26.0143,136.243,-15.1714,-34.9714,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,20.6107,21.5474,21.0464,70.0,37.5,4,2,95,40,1,3612,7514,13857,12446,2,3,1806.0,2504.67,0.892954,2.09304,5153,2828,4045,3590,18,8,77,32,2.5,0.666667,1,0,8,4,0,0,0,0,0.0,0.0,4970,3937,6.78571,4.28571,258.0,805.071,989.786,1333.5,368.071,303.0,5.5,3.42857,355.0,421.821,79.0,-4560.33,-0.0559468,0.0830789,967.0,626.0,2.28571,-0.535714,11.2857,48.1071,191.786,52.9286,69.0714,-141.536,44.7143,-154.5,1,4,2,0,0,0,0,0,2,0,0,884,20800000
66675248681,13016,B,1692802390185,1259,100,2,1,축구도사 파비뉴,sR6VR-VzupJbA8BzCY2E6JjX6uOOmDVvXZk0fMipVfSpwg,59,30,10,0,8,13,9101,352,8292,17556,1,0,2,0,0,0,1,11795,10214,11153,2,116,10,19,1,4,0,0,0,0,0,4,26,5,3,6,10928,681,135,9101.0,0.891032,20.0,0.0,,,1.00079,0.905481,6.43368,433.725,836.664,562.113,531.517,0.0,5.5282,0.619539,0.0,1.23908,0.238284,0.142971,0.285941,520.794,0,0,25,-2483,7653.0,-0.767142,4609.0,3874.0,1.19142,-118.332,-307.53,219.651,184.623,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,20.7692,12.5547,23.4139,54.0541,24.2991,3,7,96,39,1,3831,5270,9874,7682,1,0,3831.0,5270.0,0.760119,1.01855,6738,5057,5040,5174,16,3,80,36,7.0,13.0,4,6,9,4,0,0,0,0,0.0,0.0,6051,4877,6.85714,5.58473,273.643,754.654,705.286,1100.05,481.286,724.153,5.71429,5.15513,432.214,698.377,2751.33,3601.0,0.0853274,-2.79892,1829.0,1286.0,1.07143,1.43198,42.2857,-440.334,-199.5,-524.105,130.643,398.091,91.8571,370.597,4,2,0,0,1,0,3,5,0,587,433,0,2900079
66675248686,13016,B,1692802390185,1259,200,2,0,숫자10,7NBJcnJAVHB1-tGSnB5nUbUvuGzFUMvyDST0V7wL0PikZpJn,30,59,1,0,9,10,11584,10979,0,24009,8,0,1,0,0,0,0,7186,6986,7589,0,99,4,11,1,1,0,0,0,0,0,0,15,2,0,8,7054,694,110,1448.0,1.65817,0.625,0.0,,,0.619539,0.524226,5.24226,552.057,1144.19,342.462,361.668,0.0,4.71803,0.476569,0.0,0.714853,0.0953137,0.0,0.381255,336.172,0,3,-25,2483,-7653.0,0.767142,-4609.0,-3874.0,-1.19142,118.332,307.53,-219.651,-184.623,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,19.8556,26.6691,20.8895,35.7143,18.9873,0,1,81,29,0,3239,8345,12667,11342,3,5,1079.67,1669.0,0.674792,3.81747,4909,2277,4800,2186,2,9,79,20,1.0,0.4,3,1,8,2,2,1,0,0,0.0,0.0,4765,2289,5.78571,4.15274,231.357,1194.99,904.786,1624.15,350.643,326.062,5.64286,2.86396,340.357,327.78,-2751.33,-3601.0,-0.0853274,2.79892,-1829.0,-1286.0,-1.07143,-1.43198,-42.2857,440.334,199.5,524.105,-130.643,-398.091,-91.8571,-370.597,2,0,1,1,0,0,1,1,2,0,763,631,2900074
66675248711,13016,P,1692802405452,1497,100,2,0,돌아온 미난,K_gHT1UR4rBFD64q6IY0jUu5G0I-MYCIIyTfFH92EPbBM-8,102,121,1,0,2,11,13830,11016,2022,26393,8,1,0,0,0,0,0,9264,8390,5750,0,72,7,38,2,0,0,0,0,0,0,0,14,2,6,2,7993,667,110,1728.75,1.64839,1.0,1.0,,,0.641283,1.52305,4.40882,554.309,1057.84,371.303,230.461,0.0,2.88577,0.440882,0.0,0.561122,0.0801603,0.240481,0.0801603,320.361,1,2,-99,-20286,-9643.25,-0.715195,-7238.0,-8113.0,-3.96794,-813.066,-168.898,-290.1,-325.17,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,17.1073,24.2368,21.9292,47.0588,11.6667,0,1,82,28,0,5802,8028,12603,13790,3,5,1934.0,1605.6,1.02872,2.91927,5974,3290,5640,2750,22,16,60,12,1.66667,0.6,5,2,8,3,1,1,0,1,0.0,1.0,4512,3481,5.85714,2.55708,414.429,733.151,900.214,1259.36,426.714,300.457,4.28571,1.09589,322.286,317.9,-7137.0,-10916.9,-0.13051,-0.870257,-2384.0,-2758.0,-2.71429,-5.57078,-233.5,-1554.06,-41.9286,-331.233,-170.286,-443.288,-197.0,-489.041,5,0,1,0,0,0,0,0,4,0,0,779,25600000
66675248719,13016,P,1692802405452,1497,200,2,1,7776,4Z8r8L0XFYdDQZGF98UTiEcnZnO2rw8ivjMSlFKejHMi5_Q,121,102,4,1,8,16,34116,1565,30369,30607,3,4,4,0,0,0,0,16502,14434,16957,2,175,18,34,2,7,0,0,0,0,0,1,22,3,2,4,16106,590,209,11372.0,2.36359,7.33333,4.0,,,1.002,1.36273,8.37675,1367.37,1226.73,661.403,679.639,0.0,7.01403,0.641283,0.0,0.881764,0.12024,0.0801603,0.160321,645.531,4,1,99,20286,9643.25,0.715195,7238.0,8113.0,3.96794,813.066,168.898,290.1,325.17,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,27.1077,37.6278,27.5672,57.8947,17.4603,1,3,120,89,1,9071,25045,13190,17417,1,2,9071.0,12522.5,1.15923,3.78953,8358,8144,7825,6609,16,18,104,71,10.0,6.0,9,9,10,6,0,1,2,2,2.0,2.0,7270,8836,8.57143,8.12785,647.929,2287.21,942.143,1590.59,597.0,743.744,7.42857,6.48402,519.286,806.941,7137.0,10916.9,0.13051,0.870257,2384.0,2758.0,2.71429,5.57078,233.5,1554.06,41.9286,331.233,170.286,443.288,197.0,489.041,5,0,0,2,1,0,7,0,0,509,391,0,25800073
