id,ver,tier,creation,duration,tid,pos,win,name,smnrid,cid,cid2,assists,baron,ccing,champlevel,dealt,dealtm,dealtp,dealttaken,deaths,doublekill,dragon,fbassist,fbkill,ftassist,ftkill,goldearned,goldspent,heal,herald,jungle,kills,minions,largestmultikill,object,pentakill,quadrakill,theal,triplekill,tshield,turretkills,visionscore,visionwardsbuy,wardskilled,wardsplaced,xp,ctime,cs,dpd,dpg,kda,multikillcnt,lr,sr,cmin,cpm,cspm,dpm,dtpm,gpm,hpm,htpm,jpm,lvpm,stpm,vsm,vwbm,wkm,wpm,xpm,solokill,solodeath,diffcs,diffdmg,diffdpd,diffdpg,diffgold,diffxp,diffcspm,diffdpm,diffdtpm,diffgpm,diffxpm,baron100,baron200,cs100,cs200,dealt100,dealt200,dragon100,dragon200,goldearned100,goldearned200,herald100,herald200,kills100,kills200,tower100,tower200,visionscore100,visionscore200,csratio,dratio,gratio,kratio,vsratio,assist_at14,assist_af14,cs_at14,cs_af14,cs_lead_at14,damagedone_at14,damagedone_af14,damagetaken_at14,damagetaken_af14,death_at14,death_af14,dpd_at14,dpd_af14,dpg_at14,dpg_af14,gold_at14,gold_af14,goldspent_at14,goldspent_af14,minions_at14,minions_af14,jungle_at14,jungle_af14,kda_at14,kda_af14,kill_at14,kill_af14,lv_at14,lv_af14,solodeath_at14,solodeath_af14,solokill_at14,solokill_af14,solokd_at14,solokd_af14,xp_at14,xp_af14,cspm_at14,cspm_af14,dpm_at14,dpm_af14,dtpm_at14,dtpm_af14,gpm_at14,gpm_af14,jpm_at14,jpm_af14,xpm_at14,xpm_af14,diffdpd_at14,diffdpd_af14,diffdpg_at14,diffdpg_af14,diffgold_at14,diffxp_at14,diffcspm_at14,diffcspm_af14,diffdpm_at14,diffdpm_af14,diffdtpm_at14,diffdtpm_af14,diffgpm_at14,diffgpm_af14,diffxpm_at14,diffxpm_af14,gank_kill_at14,gank_assists_at14,gank_death_at14,combat_kill_at14,combat_assists_at14,combat_death_at14,combat_kill_af14,combat_assists_af14,combat_death_af14,first_herald_time,first_dragon_time,first_turret_time,lp
66675248444,13016,P,1692802386443,2099,100,5,0,그것을알고 씹다,_ME6zxp_6dHHYXarQF4jbOusatFgzgbTGeRe8NiUI2tGxuw,555,101,9,0,36,14,18807,0,13655,27731,8,2,1,0,0,0,0,11675,11085,6458,2,0,13,37,2,3,0,0,0,0,0,0,90,2,11,38,12696,699,37,2350.88,1.69662,2.75,2.0,,788.0,0.857551,1.05765,1.05765,537.599,792.692,333.73,184.602,0.0,0.0,0.400191,0.0,2.57265,0.0571701,0.314435,1.08623,362.916,4,3,-31,1570,783.875,-0.269057,435.0,-1853.0,-0.886136,44.8785,183.173,12.4345,-52.9681,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,3.65252,16.3336,16.1572,55.0,51.4286,2,7,21,16,1,4877,13930,7482,20249,1,7,4877.0,1990.0,1.38159,1.84381,5200,6475,3530,7555,21,16,0,0,9.0,1.85714,7,6,8,6,1,2,2,2,2.0,1.0,4797,7899,1.5,0.76251,348.357,663.86,534.429,965.004,371.429,308.578,0.0,0.0,342.643,376.442,2738.67,637.25,-1.15901,0.110628,1416.0,861.0,0.428571,-1.7633,-109.857,148.118,156.5,200.969,101.143,-46.7514,61.5,-129.341,3,0,0,2,0,0,2,5,3,614,1642,1193,25700004
66675248449,13016,P,1692802386443,2099,200,5,1,GolDeLion,EGgoqo8EwnfPYyQXXxL3yx6LrEcqT7joIZOO7fHJpLtXzg,101,555,12,2,32,15,17237,15470,1018,21323,11,0,4,0,0,0,0,11240,8769,964,0,0,4,68,1,6,0,0,0,0,0,0,51,2,7,27,14549,877,68,1567.0,1.96567,1.45455,0.0,537.0,,0.771796,1.94378,1.94378,492.72,609.519,321.296,27.556,0.0,0.0,0.428776,0.0,1.45784,0.0571701,0.200095,0.771796,415.884,2,6,31,-1570,-783.875,0.269057,-435.0,1853.0,0.886136,-44.8785,-183.173,-12.4345,52.9681,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,6.64712,12.7446,14.9693,45.7143,30.1775,3,9,15,53,0,6415,10822,5291,16032,3,8,2138.33,1352.75,2.54059,1.73318,3784,7456,2525,6244,15,53,0,0,1.33333,1.5,1,3,7,8,3,3,1,1,0.333333,0.333333,3936,10613,1.07143,2.52581,458.214,515.743,377.929,764.035,270.286,355.33,0.0,0.0,281.143,505.782,-2738.67,-637.25,1.15901,-0.110628,-1416.0,-861.0,-0.428571,1.7633,109.857,-148.118,-156.5,-200.969,-101.143,46.7514,-61.5,129.341,0,2,0,0,0,0,1,5,4,0,663,860,25800036
66675248474,13016,G,1692802390421,1218,100,5,1,풀숲에 토게피,EVNUp-zUc7NQ8oRn1qhY2Q9TahQNNm6zvcM4_3F2jNl6qU4,117,555,12,0,18,9,4230,3037,786,6748,3,0,2,0,0,0,0,5480,5210,338,0,0,0,13,0,2,0,0,281,0,2025,0,22,2,6,9,5864,1036,13,1410.0,0.8119,4.0,0.0,664.0,,0.738916,0.640394,0.640394,208.374,332.414,269.951,16.6502,13.8424,0.0,0.44335,99.7537,1.08374,0.0985222,0.295566,0.44335,288.867,0,3,-19,-303,-101.0,-0.00633086,-461.0,251.0,-0.935961,-14.9261,-353.399,-22.7094,12.3645,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,2.22222,7.36664,12.8295,50.0,29.7297,5,7,7,6,0,2779,1451,5274,1474,3,0,926.333,1451.0,1.12738,0.528597,3482,1998,2465,2745,7,6,0,0,1.66667,7.0,0,0,7,2,3,0,0,0,0.0,0.0,3914,1950,0.5,0.952381,198.5,230.317,376.714,233.968,248.714,317.143,0.0,0.0,279.571,309.524,-2719.67,1007.5,0.272518,-0.167089,-825.0,151.0,-0.857143,-1.11111,-61.9286,89.5238,-221.929,-645.556,-58.9286,57.7778,10.7857,15.873,0,4,0,0,1,0,0,6,0,0,599,889,20600024
66675248479,13016,P,1692802390421,1218,200,5,0,월 해 정,bRTo0c_OQCWXjG8uOa7VvOnjzXtRTeoivtxxpFP_toE0f7Q,555,117,3,0,16,9,4533,0,3859,13922,3,0,0,0,0,0,0,5941,5540,3066,2,0,3,32,1,2,0,0,0,0,0,0,57,7,8,29,5613,838,32,1511.0,0.818231,2.0,0.0,,619.0,0.44335,1.57635,1.57635,223.3,685.813,292.66,151.034,0.0,0.0,0.44335,0.0,2.80788,0.344828,0.394089,1.42857,276.502,3,0,19,303,101.0,0.00633086,461.0,-251.0,0.935961,14.9261,353.399,22.7094,-12.3645,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,6.03774,13.5898,17.4146,60.0,50.0,3,0,19,13,1,3646,887,8381,5541,1,2,3646.0,443.5,0.854865,0.695686,4307,1634,4265,1275,19,13,0,0,6.0,0.0,3,0,7,2,0,0,3,0,3.0,0.0,3763,1850,1.35714,2.06349,260.429,140.794,598.643,879.524,307.643,259.365,0.0,0.0,268.786,293.651,2719.67,-1007.5,-0.272518,0.167089,825.0,-151.0,0.857143,1.11111,61.9286,-89.5238,221.929,645.556,58.9286,-57.7778,-10.7857,-15.873,0,1,1,0,0,0,0,0,1,568,0,833,25700000
66675248544,13016,P,1692802426534,1400,100,5,1,오빠잠지만용,PrrU_uEll6z0YhGJFU9KRs603Unm6BJQLBPedzF4IC5w_Q,117,518,10,0,26,11,5268,4303,965,7679,0,0,2,0,0,0,0,6435,5500,2408,1,0,3,8,1,3,0,0,792,0,2514,0,51,8,0,25,7638,851,8,5268.0,0.957818,13.0,0.0,763.0,,0.557143,0.342857,0.342857,225.771,329.1,275.786,103.2,33.9429,0.0,0.471429,107.743,2.18571,0.342857,0.0,1.07143,327.343,1,0,-1,-870,3733.5,-0.630691,1678.0,1224.0,-0.0428571,-37.2857,-73.0714,71.9143,52.4571,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,1.24805,9.44814,14.2361,54.1667,45.5357,3,7,3,5,0,3054,2214,3293,4386,0,0,3054.0,2214.0,1.018,0.8856,3640,2795,3000,2500,3,5,0,0,5.0,8.0,2,1,7,4,0,0,1,0,1.0,0.0,3802,3836,0.214286,0.535714,218.143,237.214,235.214,469.929,260.0,299.464,0.0,0.0,271.571,411.0,836.5,1362.5,-0.452978,-1.12029,348.0,-6.0,-0.214286,0.214286,-98.6429,54.75,-141.714,29.8929,24.8571,142.5,-0.428571,131.786,1,2,0,0,0,0,0,5,0,942,1048,0,25700004
66675248549,13016,G,1692802426534,1400,200,5,0,adrastea,lDhIcoLx_qsegZp6TDMeSDx_DdyXzFZvUH4mtn9wXxG2PQ,518,117,1,0,25,10,6138,5399,483,9384,4,0,0,0,0,0,0,4757,3864,0,0,0,1,9,1,0,0,0,0,0,0,0,20,1,1,9,6414,0,9,1534.5,1.58851,0.5,0.0,546.0,,0.257143,0.385714,0.385714,263.057,402.171,203.871,0.0,0.0,0.0,0.428571,0.0,0.857143,0.0428571,0.0428571,0.385714,274.886,1,2,1,870,-3733.5,0.630691,-1678.0,-1224.0,0.0428571,37.2857,73.0714,-71.9143,-52.4571,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,1.37405,11.8873,12.5445,20.0,22.7273,1,0,6,3,1,4435,1703,5277,4107,2,2,2217.5,851.5,1.47098,2.00589,3292,1465,3015,849,6,3,0,0,1.0,0.0,1,0,7,3,1,1,1,0,1.0,0.0,3808,2606,0.428571,0.321429,316.786,182.464,376.929,440.036,235.143,156.964,0.0,0.0,272.0,279.214,-836.5,-1362.5,0.452978,1.12029,-348.0,6.0,0.214286,-0.214286,98.6429,-54.75,141.714,-29.8929,-24.8571,-142.5,0.428571,-131.786,0,1,1,0,0,0,0,0,1,0,0,884,20800064
66675248684,13016,S,1692802390185,1259,100,5,1,윤똥깡,OjiY4A99l0hP1FT_xiXiEW_2-NqkE4K6xX82NVCH30IKaWg,99,16,12,0,34,10,13628,12041,1019,9387,4,0,2,0,0,0,0,7255,6845,1062,2,0,4,27,1,4,0,0,0,0,1672,0,35,1,8,9,6923,825,27,3407.0,1.99094,4.0,0.0,525.0,,0.953137,1.28674,1.28674,649.468,447.355,345.751,50.6116,0.0,0.0,0.476569,79.6823,1.66799,0.0476569,0.381255,0.428912,329.929,2,4,15,9629,2962.67,1.15521,2232.0,1675.0,0.714853,458.888,-278.936,106.37,79.8253,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,4.15385,18.7996,14.4017,43.2432,32.7103,4,8,17,10,1,7481,6147,4514,4873,2,2,3740.5,3073.5,1.51284,3.23526,5065,2190,4945,1900,17,10,0,0,4.0,4.0,4,0,8,2,2,2,2,0,1.0,0.0,4569,2354,1.21429,1.43198,534.357,880.239,322.429,697.804,361.786,313.604,0.0,0.0,326.357,337.088,2852.83,2850.83,0.713142,2.31705,1515.0,839.0,0.785714,0.572792,344.143,688.926,-46.3571,-745.203,108.214,102.673,59.9286,119.714,1,2,0,1,0,0,0,6,0,587,433,0,3800017
66675248689,13016,S,1692802390185,1259,200,5,0,쏘야보꿈,knCARIs43YNKxJXgSdSMXQufeifKQYXavw10fVI8OcOyK2o,16,99,6,0,23,9,3999,3266,375,15240,9,0,1,1,0,0,0,5023,4785,6276,0,0,1,12,1,1,0,0,4399,0,260,0,36,3,3,18,5248,682,12,444.333,0.835737,0.777778,0.0,632.0,,0.76251,0.571882,0.571882,190.58,726.291,239.38,299.095,209.643,0.0,0.428912,12.3908,1.71565,0.142971,0.142971,0.857824,250.103,1,2,-15,-9629,-2962.67,-1.15521,-2232.0,-1675.0,-0.714853,-458.888,278.936,-106.37,-79.8253,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,2.16606,9.20665,14.6017,50.0,45.5696,4,2,6,6,0,2663,1336,5163,10077,3,6,887.667,222.667,0.7997,0.918213,3550,1473,3330,1455,6,6,0,0,1.66667,0.333333,1,0,7,2,1,1,1,0,1.0,0.0,3730,1518,0.428571,0.859189,190.214,191.313,368.786,1443.01,253.571,210.931,0.0,0.0,266.429,217.375,-2852.83,-2850.83,-0.713142,-2.31705,-1515.0,-839.0,-0.785714,-0.572792,-344.143,-688.926,46.3571,745.203,-108.214,-102.673,-59.9286,-119.714,0,1,1,0,0,1,0,1,4,0,763,631,3600000
66675248710,13016,G,1692802405452,1497,100,5,0,제발갱쫌그만당해,WOO5FeX0Iekiej-z5liYwaNoz_4qnNlqa-07geFZASEsZmw,526,497,8,0,43,12,5459,2853,1448,20705,7,0,0,0,0,0,0,6852,6725,1985,0,0,2,32,1,0,0,0,0,0,0,0,58,4,12,20,8625,972,32,779.857,0.811747,1.42857,0.0,,585.0,0.681363,1.28257,1.28257,218.798,829.86,274.629,79.5591,0.0,0.0,0.480962,0.0,2.32465,0.160321,0.480962,0.801603,345.691,2,0,-8,-1751,-1022.64,-0.133207,-1532.0,-690.0,-0.320641,-70.1804,161.723,-61.4028,-27.6553,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,4.97667,9.56679,16.2197,58.8235,48.3333,4,4,22,10,0,2273,3186,6148,14557,3,4,757.667,796.5,0.670501,0.955322,3661,3191,3390,3335,22,10,0,0,1.66667,1.25,1,1,7,5,0,0,1,1,1.0,1.0,4022,4603,1.57143,0.913242,162.357,290.959,439.143,1329.41,261.5,291.416,0.0,0.0,287.286,420.365,-391.667,-2965.5,-0.330369,0.0563976,-420.0,377.0,-0.142857,-0.547945,-83.9286,-52.6027,-16.5714,389.68,-30.0,-101.553,26.9286,-97.4429,0,3,2,0,0,1,0,1,3,0,0,779,20800036
66675248716,13016,P,1692802405452,1497,200,5,1,도로롱자,HHAzvgxCiRYZTWDo6bxbFGfxPk0bIdS-UL4nQhxDyTpuNqQ,497,526,16,1,22,12,7210,5134,1297,16670,4,0,4,0,0,0,0,8384,7630,8567,2,0,2,40,1,7,0,0,2721,0,2679,0,54,6,6,29,9315,794,40,1802.5,0.944954,4.5,0.0,,589.0,0.881764,1.60321,1.60321,288.978,668.136,336.032,343.367,109.058,0.0,0.480962,107.375,2.16433,0.240481,0.240481,1.16232,373.347,1,2,8,1751,1022.64,0.133207,1532.0,690.0,0.320641,70.1804,-161.723,61.4028,27.6553,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,5.18807,7.95218,14.0058,47.3684,42.8571,5,11,24,16,1,3448,3762,6380,10290,3,1,1149.33,3762.0,1.00087,0.898925,4081,4303,3445,4185,24,16,0,0,2.0,12.0,1,1,7,5,2,0,1,0,0.5,0.0,3645,5670,1.71429,1.46119,246.286,343.562,455.714,939.726,291.5,392.968,0.0,0.0,260.357,517.808,391.667,2965.5,0.330369,-0.0563976,420.0,-377.0,0.142857,0.547945,83.9286,52.6027,16.5714,-389.68,30.0,101.553,-26.9286,97.4429,0,3,1,0,1,0,1,10,0,509,391,0,25700070
