id,ver,tier,creation,duration,tid,pos,win,name,smnrid,cid,cid2,assists,baron,ccing,champlevel,dealt,dealtm,dealtp,dealttaken,deaths,doublekill,dragon,fbassist,fbkill,ftassist,ftkill,goldearned,goldspent,heal,herald,jungle,kills,minions,largestmultikill,object,pentakill,quadrakill,theal,triplekill,tshield,turretkills,visionscore,visionwardsbuy,wardskilled,wardsplaced,xp,ctime,cs,dpd,dpg,kda,multikillcnt,lr,sr,cmin,cpm,cspm,dpm,dtpm,gpm,hpm,htpm,jpm,lvpm,stpm,vsm,vwbm,wkm,wpm,xpm,solokill,solodeath,diffcs,diffdmg,diffdpd,diffdpg,diffgold,diffxp,diffcspm,diffdpm,diffdtpm,diffgpm,diffxpm,baron100,baron200,cs100,cs200,dealt100,dealt200,dragon100,dragon200,goldearned100,goldearned200,herald100,herald200,kills100,kills200,tower100,tower200,visionscore100,visionscore200,csratio,dratio,gratio,kratio,vsratio,assist_at14,assist_af14,cs_at14,cs_af14,cs_lead_at14,damagedone_at14,damagedone_af14,damagetaken_at14,damagetaken_af14,death_at14,death_af14,dpd_at14,dpd_af14,dpg_at14,dpg_af14,gold_at14,gold_af14,goldspent_at14,goldspent_af14,minions_at14,minions_af14,jungle_at14,jungle_af14,kda_at14,kda_af14,kill_at14,kill_af14,lv_at14,lv_af14,solodeath_at14,solodeath_af14,solokill_at14,solokill_af14,solokd_at14,solokd_af14,xp_at14,xp_af14,cspm_at14,cspm_af14,dpm_at14,dpm_af14,dtpm_at14,dtpm_af14,gpm_at14,gpm_af14,jpm_at14,jpm_af14,xpm_at14,xpm_af14,diffdpd_at14,diffdpd_af14,diffdpg_at14,diffdpg_af14,diffgold_at14,diffxp_at14,diffcspm_at14,diffcspm_af14,diffdpm_at14,diffdpm_af14,diffdtpm_at14,diffdtpm_af14,diffgpm_at14,diffgpm_af14,diffxpm_at14,diffxpm_af14,gank_kill_at14,gank_assists_at14,gank_death_at14,combat_kill_at14,combat_assists_at14,combat_death_at14,combat_kill_af14,combat_assists_af14,combat_death_af14,first_herald_time,first_dragon_time,first_turret_time,lp
66675248440,13016,P,1692802386443,2099,100,1,0,너 내꺼다 재니,TLd8i2crng8L4NSbp-LIwN5a6yLGxyH8nylwbyiyrECMaRW4AbgsBXcIhA,58,266,11,0,31,18,27524,4001,23522,41685,7,0,1,0,0,0,1,15414,14824,12818,2,12,2,282,1,3,0,0,0,0,0,2,19,0,1,10,20571,800,294,3932.0,1.85672,1.85714,0.0,,,0.571701,8.06098,8.404,786.775,1191.57,440.61,366.403,0.0,0.34302,0.514531,0.0,0.543116,0.0,0.028585,0.28585,588.023,2,0,46,585,-1455.8,-0.155306,958.0,-479.0,1.31491,16.7222,301.172,27.3845,-13.6922,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,29.0227,23.9042,21.3316,32.5,10.8571,3,8,114,180,1,7920,19604,9564,32121,1,6,7920.0,3267.33,1.34237,2.19677,6092,9322,5900,8924,114,168,0,12,5.0,1.33333,2,0,11,7,0,0,2,0,2.0,0.0,7992,12579,8.14286,8.57824,565.714,934.265,683.143,1530.79,435.143,444.257,0.0,0.571882,570.857,599.476,5500.33,-6572.67,-0.874116,0.250955,2297.0,2061.0,2.92857,0.238284,47.2143,-3.62192,68.3571,456.505,164.071,-63.8125,147.214,-121.048,0,3,1,0,0,0,0,5,3,614,1642,1193,25700037
66675248445,13016,P,1692802386443,2099,200,1,1,딴 심,0_j_zAEeYl3VSyANw6jYWrqZDa4FefRn-p__Nwi2qmCihg,266,58,9,2,27,18,26939,0,24999,31149,5,0,4,0,0,0,0,14456,13389,13072,0,12,4,236,1,6,0,0,0,0,0,4,24,1,1,12,21050,1017,248,5387.8,2.01202,2.6,0.0,,,0.514531,6.74607,7.08909,770.052,890.395,413.225,373.664,0.0,0.34302,0.514531,0.0,0.686041,0.028585,0.028585,0.34302,601.715,1,2,-46,-585,1455.8,0.155306,-958.0,479.0,-1.31491,-16.7222,-301.172,-27.3845,13.6922,0,2,1013,1023,115143,135249,1,4,72259,75087,2,0,40,35,6,10,175,169,24.2424,19.9181,19.2523,37.1429,14.2012,1,8,73,175,0,7259,19680,8607,22542,3,2,2419.67,9840.0,2.21649,1.94582,3795,10661,3275,10114,73,163,0,12,0.666667,5.5,1,3,9,9,2,0,0,1,0.0,1.0,5931,15119,5.21429,8.33995,518.5,937.887,614.786,1074.28,271.071,508.07,0.0,0.571882,423.643,720.524,-5500.33,6572.67,0.874116,-0.250955,-2297.0,-2061.0,-2.92857,-0.238284,-47.2143,3.62192,-68.3571,-456.505,-164.071,63.8125,-147.214,121.048,1,1,1,0,0,0,0,3,1,0,663,860,25700095
66675248470,13016,P,1692802390421,1218,100,1,1,BlackKnights,GWGBBedFvk9t8X4sfw54I1ChXeqiqt6XhH2PZJZB6_c2wpNnhQ0XUtH3Cg,82,58,5,0,14,14,18036,15618,2417,15158,1,1,2,0,0,0,0,9869,8949,7045,0,4,10,141,2,2,0,0,0,0,0,1,6,0,0,4,11574,594,145,18036.0,2.01542,15.0,1.0,,,0.788177,6.94581,7.14286,888.473,746.7,486.158,347.044,0.0,0.197044,0.689655,0.0,0.295566,0.0,0.0,0.197044,570.148,5,0,2,8714,16704.3,0.371329,2956.0,2555.0,0.0985222,429.261,-156.158,145.616,125.862,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,24.7863,31.4101,23.1048,62.5,8.10811,2,3,100,45,0,10181,7855,7376,7782,1,0,10181.0,7855.0,2.09874,1.91679,6254,3615,4851,4098,100,41,0,4,8.0,7.0,6,4,11,3,0,0,3,2,3.0,2.0,7520,4054,7.14286,7.14286,727.214,1246.83,526.857,1235.24,446.714,573.81,0.0,0.634921,537.143,643.492,8851.0,6521.0,0.651123,-0.0892264,1647.0,1030.0,-0.142857,0.634921,347.214,611.587,-222.429,-8.88889,117.643,207.778,73.5714,242.063,3,2,1,0,0,0,2,3,0,0,599,889,25800054
66675248475,13016,P,1692802390421,1218,200,1,0,아그야 아빠온다,l2RoN9MAkyrSVu4QRq5VH_pQmTSn25L2ptPcLFhN51y2CFg,58,82,1,0,14,12,9322,1415,7906,18328,7,0,0,0,0,0,0,6913,5670,2748,2,0,2,143,1,2,0,0,0,0,0,0,15,2,0,6,9019,1033,143,1331.71,1.64409,0.428571,0.0,,,0.492611,7.04433,7.04433,459.212,902.857,340.542,135.369,0.0,0.0,0.591133,0.0,0.738916,0.0985222,0.0,0.295566,444.286,0,3,-2,-8714,-16704.3,-0.371329,-2956.0,-2555.0,-0.0985222,-429.261,156.158,-145.616,-125.862,0,0,585,530,57421,33356,2,0,42714,34115,0,2,24,10,5,1,74,114,26.9811,27.947,20.2638,30.0,13.1579,1,0,102,41,1,5320,4002,10490,7838,4,3,1330.0,1334.0,1.44762,2.00602,4607,2306,3675,1995,102,41,0,0,0.5,0.333333,1,1,10,2,2,1,0,0,0.0,0.0,6490,2529,7.28571,6.50794,380.0,635.238,749.286,1244.13,329.071,366.032,0.0,0.0,463.571,401.429,-8851.0,-6521.0,-0.651123,0.0892264,-1647.0,-1030.0,0.142857,-0.634921,-347.214,-611.587,222.429,8.88889,-117.643,-207.778,-73.5714,-242.063,1,1,2,0,0,0,1,0,2,568,0,833,25900051
66675248540,13016,G,1692802426534,1400,100,1,1,포 룽,oCqrNAAVXKE289yyq_kYWMcq6HamXgx9N-cjDAjbnlasMcI,92,10,6,0,18,14,11304,0,10590,16994,3,0,2,0,0,0,0,7984,7060,3481,1,4,2,146,1,3,0,0,0,0,0,1,13,2,2,8,12261,922,150,3768.0,1.60113,2.66667,0.0,,,0.471429,6.25714,6.42857,484.457,728.314,342.171,149.186,0.0,0.171429,0.6,0.0,0.557143,0.0857143,0.0857143,0.342857,525.471,0,0,-28,-3628,35.0,-0.278288,-99.0,879.0,-1.2,-155.486,29.3143,-4.24286,37.6714,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,23.4009,20.2737,17.6629,33.3333,11.6071,0,6,88,62,0,3747,7557,5609,11385,1,2,3747.0,3778.5,1.10858,2.05353,3749,4235,3380,3680,88,58,0,4,0.0,4.0,0,2,10,4,0,0,0,0,0.0,0.0,6951,5310,6.28571,6.64286,267.643,809.679,400.643,1219.82,267.786,453.75,0.0,0.428571,496.5,568.929,-566.0,1123.75,0.075526,-0.763178,-1245.0,-414.0,-2.21429,0.321429,-40.4286,-328.071,13.1429,53.5714,-88.9286,122.786,-29.5714,138.536,0,0,1,0,0,0,1,3,0,942,1048,0,20900029
66675248545,13016,G,1692802426534,1400,200,1,0,여자도 군대,0tDMT1ehZxBDHJ-203Blt8KbezsTI7coHMJZZ5B3Q5TEAak,10,92,1,0,7,13,14932,10347,4584,16310,4,0,0,0,0,0,0,8083,7945,5065,0,0,3,178,1,0,0,0,219,0,0,0,12,1,0,8,11382,888,178,3733.0,1.87942,1.0,0.0,,,0.342857,7.62857,7.62857,639.943,699.0,346.414,217.071,9.38571,0.0,0.557143,0.0,0.514286,0.0428571,0.0,0.342857,487.8,0,0,28,3628,-35.0,0.278288,99.0,-879.0,1.2,155.486,-29.3143,4.24286,-37.6714,0,0,641,655,55757,51635,2,0,45202,37921,1,0,24,10,5,0,112,88,27.1756,28.9184,21.3154,40.0,13.6364,1,0,119,59,1,4313,10619,5425,10885,0,4,4313.0,2654.75,1.03305,2.81671,4994,3089,4175,3770,119,59,0,0,2.0,0.5,1,2,11,2,0,0,0,0,0.0,0.0,7365,4017,8.5,6.32143,308.071,1137.75,387.5,1166.25,356.714,330.964,0.0,0.0,526.071,430.393,566.0,-1123.75,-0.075526,0.763178,1245.0,414.0,2.21429,-0.321429,40.4286,328.071,-13.1429,-53.5714,88.9286,-122.786,29.5714,-138.536,1,1,0,0,0,0,0,0,1,0,0,884,20600016
66675248680,13016,S,1692802390185,1259,100,1,1,귀살대원 하대한,SlxSJXz3IrESW2gMxbd_NaBJ40IvRk-Ucx0OX-TngB1owOE,126,83,5,0,5,15,10818,1730,9088,10873,1,0,2,0,0,0,0,10366,8455,2210,2,4,5,203,1,4,0,0,0,0,0,1,13,0,2,6,13173,765,207,10818.0,1.27948,10.0,0.0,,,0.524226,9.67435,9.86497,515.552,518.173,494.011,105.322,0.0,0.190627,0.714853,0.0,0.619539,0.0,0.0953137,0.285941,627.784,3,0,16,4493,7655.5,0.376553,2407.0,2224.0,0.76251,214.122,-68.2446,114.71,105.989,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,31.8462,14.9232,20.5773,27.027,12.1495,0,5,121,86,1,3259,7559,5264,5609,1,0,3259.0,7559.0,0.715478,1.93821,5208,5158,4555,3900,117,86,4,0,1.0,9.0,1,4,10,5,0,0,1,2,1.0,2.0,7001,6172,8.64286,12.315,232.786,1082.43,376.0,803.198,372.0,738.616,0.285714,0.0,500.071,883.819,-758.0,5251.0,-0.287519,1.16887,427.0,9.0,0.142857,2.00477,-54.1429,751.933,17.5714,-240.286,30.5,283.532,0.642857,317.184,0,0,0,0,0,1,1,3,0,587,433,0,3600083
66675248685,13016,S,1692802390185,1259,200,1,0,짱종원,q6RVNXTL51D4ZgETUTitvKH_7aTCEfYV-JAXX7kzULtaOQ,83,126,1,0,4,13,6325,2967,3358,12305,2,0,1,0,0,0,0,7959,7005,3064,0,8,1,183,1,1,0,0,0,0,0,0,19,4,1,10,10949,715,191,3162.5,0.902927,1.0,0.0,,,0.190627,8.72121,9.10246,301.43,586.418,379.301,146.021,0.0,0.381255,0.619539,0.0,0.905481,0.190627,0.0476569,0.476569,521.795,0,1,-16,-4493,-7655.5,-0.376553,-2407.0,-2224.0,-0.76251,-214.122,68.2446,-114.71,-105.989,0,0,650,554,72491,43436,2,1,50376,34400,2,0,37,14,9,0,107,79,34.4765,14.5617,23.1366,14.2857,24.0506,1,0,119,72,0,4017,2308,5018,7287,1,1,4017.0,2308.0,1.003,0.769333,4781,3178,4005,3000,115,68,4,4,1.0,1.0,0,1,10,3,1,0,0,0,0.0,0.0,6992,3957,8.5,10.3103,286.929,330.501,358.429,1043.48,341.5,455.084,0.285714,0.572792,499.429,566.635,758.0,-5251.0,0.287519,-1.16887,-427.0,-9.0,-0.142857,-2.00477,54.1429,-751.933,-17.5714,240.286,-30.5,-283.532,-0.642857,-317.184,0,0,0,0,1,0,1,0,1,0,763,631,3700023
66675248714,13016,P,1692802405452,1497,100,1,0,DWG WARRIOR,ctlQnETqrnmILJI5kB8gjzEv9_FQFZ4KZo0mWfITlZ35Jo-2,114,122,2,0,7,14,15801,723,10225,28957,12,0,0,0,1,0,0,8639,8260,9758,0,4,3,156,1,0,0,0,3902,0,0,0,16,0,3,7,11498,910,160,1316.75,1.91295,0.416667,0.0,,,0.681363,6.2525,6.41283,633.307,1160.6,346.253,391.102,156.393,0.160321,0.561122,0.0,0.641283,0.0,0.12024,0.280561,460.842,3,4,-14,-4240,-5363.58,0.250214,-4973.0,-3444.0,-0.561122,-169.94,253.347,-199.319,-138.036,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,24.8834,27.6909,20.4498,29.4118,13.3333,1,1,83,77,1,7404,8397,10035,18922,6,6,1234.0,1399.5,2.17445,1.72956,4328,4311,3405,4855,83,73,0,4,0.333333,0.5,1,2,9,5,3,1,1,2,0.333333,2.0,5374,6124,5.92857,7.03196,528.857,766.849,716.786,1728.04,309.143,393.699,0.0,0.365297,383.857,559.269,-2681.5,-10810.5,0.876422,-0.298682,-1758.0,-1664.0,0.357143,-1.73516,-30.5,-348.219,22.8571,548.037,-125.571,-293.607,-118.857,-162.557,0,1,2,0,0,1,0,1,4,0,0,779,25800052
66675248715,13016,P,1692802405452,1497,200,1,1,플리오사우루스,bEI9A5yYcU2zGy7hubK_ebuHrBuOa8cNeQ5RKaHFH9TIjBM,122,114,7,1,18,16,20041,197,15570,22636,3,2,4,0,0,0,1,13612,12053,7942,2,19,10,155,2,7,0,0,0,0,0,6,15,0,0,9,14942,814,174,6680.33,1.66274,5.66667,2.0,,,0.801603,6.21242,6.97395,803.247,907.255,545.571,318.317,0.0,0.761523,0.641283,0.0,0.601202,0.0,0.0,0.360721,598.878,3,2,14,4240,5363.58,-0.250214,4973.0,3444.0,0.561122,169.94,-253.347,199.319,138.036,0,1,643,771,57062,90667,0,4,42245,59861,0,2,17,38,0,11,120,126,22.5681,22.104,22.7393,44.7368,11.9048,4,3,78,96,0,7831,12210,9715,12921,2,1,3915.5,12210.0,1.29803,2.02824,6086,7526,6033,6020,78,77,0,19,3.5,10.0,3,7,10,6,1,1,3,0,3.0,0.0,7038,7904,5.57143,8.76712,559.357,1115.07,693.929,1180.0,434.714,687.306,0.0,1.73516,502.714,721.826,2681.5,10810.5,-0.876422,0.298682,1758.0,1664.0,-0.357143,1.73516,30.5,348.219,-22.8571,-548.037,125.571,293.607,118.857,162.557,0,3,1,0,1,0,4,3,0,509,391,0,25700087
